Timestamp,Text,Link
2024-08-12 14:38:14,"dope article on how to build a good benchmark

<https://www.safe.ai/blog/devising-ml-metrics>",https://www.safe.ai/blog/devising-ml-metrics
2024-08-12 14:02:12,"new Devin competitor takes the SWE-bench leaderboard top rank

<https://cosine.sh/blog/genie-technical-report>",https://cosine.sh/blog/genie-technical-report
2024-08-12 13:49:58,<https://kamilelukosiute.com/llms/You+need+to+be+spending+more+money+on+evals>,https://kamilelukosiute.com/llms/You+need+to+be+spending+more+money+on+evals
2024-08-12 13:40:32,"top model on llm fact checker leaderboard

<https://huggingface.co/bespokelabs/Bespoke-MiniCheck-7B>",https://huggingface.co/bespokelabs/Bespoke-MiniCheck-7B
2024-08-12 13:39:52,"hallucination detection benchmark

<https://llm-aggrefact.github.io/>",https://llm-aggrefact.github.io/
2024-08-12 13:29:59,findings from Eleuther AI team on challenges in llm evals,
2024-08-12 13:28:33,"llm eval robustness to prompt formats

<https://x.com/m_ryabinin/status/1822691135430545621>",https://x.com/m_ryabinin/status/1822691135430545621
2024-08-12 10:08:44,<https://github.com/NirDiamant/RAG_Techniques>,https://github.com/NirDiamant/RAG_Techniques
2024-08-11 18:15:45,<https://x.com/0xtyllen/status/1820880060012023996?s=12>,https://x.com/0xtyllen/status/1820880060012023996?s=12
2024-08-10 13:32:59,"gpt 5 rumor mill has started

<https://x.com/iruletheworldmo/status/1822364945226371306?s=46|https://x.com/iruletheworldmo/status/1822364945226371306?s=46>",https://x.com/iruletheworldmo/status/1822364945226371306?s=46
2024-08-14 08:07:52,<https://github.com/apple/ToolSandbox>,https://github.com/apple/ToolSandbox
2024-08-13 19:59:33,"cool no code engine

<https://x.com/rileybrown_ai/status/1823551303680745936?s=46|https://x.com/rileybrown_ai/status/1823551303680745936?s=46>",https://x.com/rileybrown_ai/status/1823551303680745936?s=46
2024-08-13 19:38:51,<https://x.com/bclavie/status/1823405973811421529>,https://x.com/bclavie/status/1823405973811421529
2024-08-13 19:38:47,<https://arxiv.org/abs/2303.00807>,https://arxiv.org/abs/2303.00807
2024-08-13 19:38:20,<https://arxiv.org/abs/2406.11706>,https://arxiv.org/abs/2406.11706
2024-08-13 13:17:25,"long context models not ready to replace RAG yet

<https://www.databricks.com/blog/long-context-rag-performance-llms>",https://www.databricks.com/blog/long-context-rag-performance-llms
